# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=1
Bx,By,Bz
3.756901754802576221e+01,9.578813495429284730e-01,-6.397231369572223159e+00
3.756151672480557835e+01,9.630293896591901603e-01,-6.355616890720838796e+00
3.755398661601781640e+01,9.681847351750060282e-01,-6.314002567294529022e+00
3.754642724390734543e+01,9.733472808131020670e-01,-6.272388489310819715e+00
3.753883863158588952e+01,9.785169211773933062e-01,-6.230774747702385596e+00
3.753122080072445499e+01,9.836935535337281156e-01,-6.189161434029477604e+00
3.752357377501923708e+01,9.888770736536179884e-01,-6.147548640882673610e+00
3.751589757788481450e+01,9.940673785932961914e-01,-6.105936461598732379e+00
3.750819223303324890e+01,9.992643660057299870e-01,-6.064324990317361497e+00
3.750045776505633910e+01,1.004467933448227379e+00,-6.022714322048678071e+00
3.749269419710581985e+01,1.009677981177000472e+00,-5.981104552351926174e+00
3.748490155437707472e+01,1.014894407968789825e+00,-5.939495777788295072e+00
3.747707986179003825e+01,1.020117113913854956e+00,-5.897888095602872305e+00
3.746922914515417347e+01,1.025345999023499211e+00,-5.856281603875268083e+00
3.746134942883901431e+01,1.030580966035178792e+00,-5.814676401170932429e+00
3.745344073927130069e+01,1.035821916217347205e+00,-5.773072587034011605e+00
3.744550310260709125e+01,1.041068752172929823e+00,-5.731470261642958697e+00
3.743753654531563768e+01,1.046321377143969222e+00,-5.689869525882444101e+00
3.742954109476638536e+01,1.051579694312565039e+00,-5.648270481425139877e+00
3.742151677688784162e+01,1.056843609618073776e+00,-5.606673230349120018e+00
3.741346361968257384e+01,1.062113027542286092e+00,-5.565077875681955888e+00
3.740538165088664613e+01,1.067387853925245045e+00,-5.523484521021407190e+00
3.739727089914499913e+01,1.072667994560261961e+00,-5.481893270716176936e+00
3.738913139165962463e+01,1.077953358020688812e+00,-5.440304229456097040e+00
3.738096315771957023e+01,1.083243851429785964e+00,-5.398717502856781536e+00
3.737276622635020118e+01,1.088539383286162510e+00,-5.357133197052509566e+00
3.736454062690240363e+01,1.093839862761712745e+00,-5.315551418784503213e+00
3.735628638964521286e+01,1.099145198996129391e+00,-5.273972275497975204e+00
3.734800354340207207e+01,1.104455303934698929e+00,-5.232395874897795451e+00
3.733969211909798958e+01,1.109770088080382466e+00,-5.190822325583753560e+00
3.733135214739716901e+01,1.115089463330344532e+00,-5.149251736610102270e+00
3.732298365929479189e+01,1.120413342270391688e+00,-5.107684217581400787e+00
3.731458668671230328e+01,1.125741637466517897e+00,-5.066119878758172490e+00
3.730616126012202471e+01,1.131074264312381228e+00,-5.024558830579867852e+00
3.729770741211167007e+01,1.136411136765291152e+00,-4.983001184350003498e+00
3.728922517500975431e+01,1.141752170192695814e+00,-4.941447051761803877e+00
3.728071458207723055e+01,1.147097279950179516e+00,-4.899896545126724234e+00
3.727217566512243252e+01,1.152446384236456733e+00,-4.858349776870305448e+00
3.726360845807898414e+01,1.157799399817390329e+00,-4.816806860256536815e+00
3.725501299462245441e+01,1.163156244879679280e+00,-4.775267908887598445e+00
3.724638930876682963e+01,1.168516838319997087e+00,-4.733733036814430584e+00
3.723773743546457382e+01,1.173881099031366171e+00,-4.692202358657396211e+00
3.722905740821033760e+01,1.179248948766605354e+00,-4.650675989069507743e+00
3.722034926263603438e+01,1.184620307847977116e+00,-4.609154043511053622e+00
3.721161303411563637e+01,1.189995098029642318e+00,-4.567636637716182335e+00
3.720284875896601307e+01,1.195373241066863601e+00,-4.526123887949576208e+00
3.719405647204149545e+01,1.200754661585726080e+00,-4.484615910444512465e+00
3.718523621034240989e+01,1.206139282782256128e+00,-4.443112822216296109e+00
3.717638801061052334e+01,1.211527029291445512e+00,-4.401614740502097334e+00
3.716751190993036857e+01,1.216917826471365593e+00,-4.360121782886479558e+00
3.715860794633425002e+01,1.222311599685034222e+00,-4.318634067436714297e+00
3.714967615638472864e+01,1.227708277177566920e+00,-4.277151712107411186e+00
3.714071657880059973e+01,1.233107785763015718e+00,-4.235674835603357558e+00
3.713172925204040098e+01,1.238510053700578428e+00,-4.194203556787357456e+00
3.712271421551359651e+01,1.243915009255838200e+00,-4.152737994966959612e+00
3.711367150715388163e+01,1.249322583583294621e+00,-4.111278269272697017e+00
3.710460116705836953e+01,1.254732706404047660e+00,-4.069824499560680486e+00
3.709550323506243075e+01,1.260145308887572035e+00,-4.028376805794214199e+00
3.708637775134548065e+01,1.265560322931674753e+00,-3.986935308183518156e+00
3.707722475704072451e+01,1.270977680440345203e+00,-3.945500127335672680e+00
3.706804429179724281e+01,1.276397316212413591e+00,-3.904071383601563916e+00
3.705883639743572644e+01,1.281819163608986401e+00,-3.862649198025648989e+00
3.704960111551194757e+01,1.287243157441150032e+00,-3.821233691696233059e+00
3.704033848853703859e+01,1.292669232524450429e+00,-3.779824986061058656e+00
3.703104855753086611e+01,1.298097326571973964e+00,-3.738423202249004706e+00
3.702173136569091838e+01,1.303527375854056425e+00,-3.697028462057567300e+00
3.701238695594643957e+01,1.308959318090666457e+00,-3.655640887278607032e+00
3.700301537156960308e+01,1.314393091727488860e+00,-3.614260599852793021e+00
3.699361665678933520e+01,1.319828635210665624e+00,-3.572887722033406988e+00
3.698419085433338438e+01,1.325265889884636339e+00,-3.531522375676764192e+00
3.697473800911369324e+01,1.330704795643450788e+00,-3.490164683277491076e+00
3.696525816576932044e+01,1.336145293828037151e+00,-3.448814767262164072e+00
3.695575136927983806e+01,1.341587326500609967e+00,-3.407472750152238383e+00
3.694621766558255160e+01,1.347030835717470509e+00,-3.366138754736374583e+00
3.693665709910278849e+01,1.352475766431376236e+00,-3.324812903329962932e+00
3.692706971645585412e+01,1.357922062135178853e+00,-3.283495318856639145e+00
3.691745556397883377e+01,1.363369667763391302e+00,-3.242186124111928969e+00
3.690781468896621220e+01,1.368818528238157528e+00,-3.200885442122705093e+00
3.689814713719138695e+01,1.374268591374804949e+00,-3.159593395381695480e+00
3.688845295662189017e+01,1.379719803519805943e+00,-3.118310106966740936e+00
3.687873219494166932e+01,1.385172112455660409e+00,-3.077035699778941424e+00
3.686898490016972829e+01,1.390625466672450683e+00,-3.035770296720027073e+00
3.685921112128149701e+01,1.396079814638027106e+00,-2.994514020878709548e+00
3.684941090571954447e+01,1.401535107706870509e+00,-2.953266994735686879e+00
3.683958430312463861e+01,1.406991295751948590e+00,-2.912029341328621790e+00
3.682973136284719828e+01,1.412448330073151626e+00,-2.870801183459640971e+00
3.681985213519297417e+01,1.417906161938764731e+00,-2.829582644084017939e+00
3.680994666892500788e+01,1.423364745496675354e+00,-2.788373845490767611e+00
